Symbol,ETF Name,Asset Class,Total Assets ($MM),YTD Price Change,Avg. Daily Share Volume (3mo),Previous Closing Price
SPLV,Invesco S&P 500® Low Volatility ETF,Equity,"$7,964",5.74%,"3,022,384",$73.47
SDVY,First Trust SMID Cap Rising Dividend Achievers ETF,Equity,"$7,945",-3.69%,"1,910,427",$34.37
DFAU,Dimensional US Core Equity Market ETF,Equity,"$7,905",-0.03%,"1,076,430",$40.39
SCHH,Schwab US REIT ETF,Real Estate,"$7,856",1.55%,"7,411,759",$21.29
EZU,iShares MSCI Eurozone ETF,Equity,"$7,855",24.98%,"3,035,244",$58.99
SPMO,Invesco S&P 500® Momentum ETF,Equity,"$7,850",11.09%,"1,386,838",$105.35
PRF,Invesco RAFI US 1000 ETF,Equity,"$7,659",1.46%,"499,000",$40.74
QLD,ProShares Ultra QQQ,Equity,"$7,655",-3.22%,"4,854,533",$104.73
VDC,Vanguard Consumer Staples ETF,Equity,"$7,650",6.82%,"197,659",$224.56
VPL,Vanguard FTSE Pacific ETF,Equity,"$7,625",11.79%,"733,237",$78.98
ONEQ,Fidelity Nasdaq Composite Index ETF,Equity,"$7,561",-0.98%,"471,453",$75.22
IJJ,iShares S&P Mid-Cap 400 Value ETF,Equity,"$7,517",-4.02%,"322,422",$119.49
ITA,iShares U.S. Aerospace & Defense ETF,Equity,"$7,451",22.14%,"458,455",$177.24
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,"$7,276",3.26%,"6,505,669",$41.73
JNK,SPDR Bloomberg High Yield Bond ETF,Bond,"$7,224",2.71%,"5,355,896",$95.91
JIRE,JPMorgan International Research Enhanced Equity ETF,Equity,"$7,187",18.12%,"482,742",$69.11
AVLV,Avantis U.S. Large Cap Value ETF,Equity,"$7,148",-1.24%,"861,722",$65.68
TFLO,iShares Treasury Floating Rate Bond ETF,Bond,"$7,013",1.77%,"2,245,798",$50.66
AVDE,Avantis International Equity ETF,Equity,"$7,003",18.74%,"496,036",$72.87
PBUS,Invesco MSCI USA ETF,Equity,"$6,988",0.94%,"452,070",$59.25
IGF,iShares Global Infrastructure ETF,Equity,"$6,970",12.88%,"720,355",$59.00
HEFA,iShares Currency Hedged MSCI EAFE ETF,Equity,"$6,840",8.69%,"2,185,395",$37.77
SRLN,SPDR Blackstone Senior Loan ETF,Bond,"$6,823",1.77%,"7,765,970",$41.39
VPU,Vanguard Utilities ETF,Equity,"$6,816",9.07%,"203,452",$176.96
DFCF,Dimensional Core Fixed Income ETF,Bond,"$6,790",2.59%,"737,948",$41.70
FDN,First Trust Dow Jones Internet Index Fund,Equity,"$6,778",3.30%,"487,061",$251.20
MGC,Vanguard Mega Cap ETF,Equity,"$6,778",0.81%,"164,744",$213.77
SPYD,SPDR Portfolio S&P 500 High Dividend ETF,Equity,"$6,740",-0.82%,"1,014,922",$42.48
TSLL,Direxion Daily TSLA Bull 2X Shares,Equity,"$6,739",-45.44%,"211,374,906",$14.91
